,onset,offset,story,word,lemma,PoS_tag_full
2307,315.15,315.53,forgot,names,name,NNS
2308,315.53,315.6,forgot,i,I,PRP
2309,315.599999,315.849999,forgot,remember,remember,VB
2310,316.099999,316.599999,forgot,icarus,,
2311,316.599999,316.70999900000004,forgot,he,he,PRP
2312,316.71,316.93,forgot,flew,fly,NN
2313,316.929999,317.159999,forgot,too,too,RB
2314,317.16,317.46000000000004,forgot,close,close,RB
2315,317.46,317.56,forgot,to,to,TO
2316,317.559999,317.679999,forgot,the,the,DT
2317,317.679999,318.08999900000003,forgot,sun,sun,NN
2318,318.34,318.48999999999995,forgot,in,in,IN
2319,318.49,318.58,forgot,the,the,DT
2320,318.58,319.01,forgot,stories,stories,NNS
2321,319.009999,319.169999,forgot,though,though,IN
2322,319.17,319.34000000000003,forgot,it's,it's,NN
2323,319.34,319.64,forgot,worth,worth,NN
2324,319.639999,319.869999,forgot,it,it,PRP
2325,319.91,320.31,forgot,always,always,RB
2326,320.309999,320.559999,forgot,worth,worth,NN
2327,320.559999,320.699999,forgot,it,it,PRP
2328,320.7,320.82,forgot,to,to,TO
2329,320.82,320.93,forgot,have,have,VB
2330,320.95,321.38,forgot,tried,try,VBN
2331,321.38,321.56,forgot,even,even,RB
2332,321.559999,321.679999,forgot,if,if,IN
2333,321.679999,321.799999,forgot,you,you,PRP
2334,321.799999,322.189999,forgot,fail,fail,NN
2335,322.190001,322.360001,forgot,even,even,RB
2336,322.359999,322.46999900000003,forgot,if,if,IN
2337,322.46999900000003,322.599999,forgot,you,you,PRP
2338,322.6,322.92,forgot,fall,fall,NN
2339,322.92,323.08000000000004,forgot,like,like,IN
2340,323.08,323.15,forgot,a,a,DT
2341,323.15,323.63,forgot,meteor,meteor,NN
2342,323.639999,324.079999,forgot,forever,forever,RB
2343,324.32,324.61,forgot,better,better,RBR
2344,324.609999,324.739999,forgot,to,to,TO
2345,,,forgot,have,have,VB
2346,,,forgot,flamed,flame,VBN
2347,,,forgot,in,in,IN
2348,325.43,325.51,forgot,the,the,DT
2349,325.52,326.07,forgot,darkness,darkness,NN
2350,326.07,326.22,forgot,to,to,TO
2351,326.22,326.28000000000003,forgot,have,have,VB
2352,326.28,326.86,forgot,inspired,inspire,VBN
2353,326.86,327.15000000000003,forgot,others,others,NNS
2354,327.15,327.26,forgot,to,to,TO
2355,327.27,327.42,forgot,have,have,VB
2356,327.43,327.86,forgot,lived,live,VBD
2357,327.87,328.02,forgot,than,than,IN
2358,328.02,328.13,forgot,to,to,TO
2359,328.13,328.26,forgot,have,have,VB
2360,328.27,328.57,forgot,sat,sit,NN
2361,328.57,328.64,forgot,in,in,IN
2362,328.64,328.75,forgot,the,the,DT
2363,328.76,329.35,forgot,darkness,darkness,NN
2364,329.6,330.04,forgot,cursing,curse,VBG
2365,330.04,330.13,forgot,the,the,DT
2366,330.13,330.47,forgot,people,people,NNS
2367,330.47,330.58000000000004,forgot,who,who,WP
2368,330.58,331.03,forgot,borrowed,borrow,VBN
2369,331.07,331.25,forgot,but,but,CC
2370,331.28,331.48,forgot,did,do,VBD
2371,331.48,331.65000000000003,forgot,not,not,RB
2372,331.69,332.18,forgot,return,return,NN
2373,332.19,332.42,forgot,your,your,PRP$
2374,332.42,333.3,forgot,candle,candle,NN
2375,336.75,336.88,forgot,i,I,PRP
2376,336.88,337.15,forgot,have,have,VB
2377,337.15,337.48,forgot,lost,lose,VBN
2378,337.509999,337.889999,forgot,people,people,NNS
2379,337.889999,338.199999,forgot,though,though,IN
2380,339.45,339.64,forgot,it's,it's,NN
2381,339.639999,340.089999,forgot,strange,strange,NN
2382,340.09,340.21,forgot,when,when,WRB
2383,340.209999,340.299999,forgot,it,it,PRP
2384,340.299999,340.919999,forgot,happens,happen,NNS
2385,341.379999,341.509999,forgot,i,I,PRP
2386,341.51,341.71,forgot,don't,don't,NN
2387,341.73,342.16,forgot,actually,actually,RB
2388,342.17,342.82,forgot,lose,lose,VB
2389,342.83,343.3,forgot,them,them,PRP
2390,,,forgot,not,not,RB
2391,343.93,344.0,forgot,in,in,IN
2392,344.0,344.09,forgot,the,the,DT
2393,344.09,344.22,forgot,way,way,NN
